9	35	鹿鳴雅舍	1759.4	1498
9	36	台大附設幼稚園	1709	1414
9	37	浩瀚樓	1842.7	1479
9	38	精密溫室	1975.2	1734
9	39	自動控溫管理室	1975.2	1734
9	40	食品科技館	1901.7	1396
9	41	食品研發大樓	1975.2	1734
9	42	管理學院教研館	1872.9	1309
9	43	園產品加工館	1963	1358
9	44	造園館	1998.7	1402
9	45	綠房子	2121.5	1513
9	46	雅頌坊	1867.9	1377
9	47	人工氣候室	2103.6	1613
9	48	種子研究室	1975.2	1734
9	49	農業試驗場辦公室	2127.6	1519
9	50	動物醫院	2307.6	1563
9	51	臺大癌醫中心醫院	2413.2	1450
9	52	中華經濟研究院	2693	1592
9	53	生物技術研究中心	2719.6	1564
9	54	土木研究大樓	2710.1	1793
9	55	國家地震工程研究中心	2753.8	1747
9	56	環境研究大樓	2473.1	1192
9	57	全校性實驗動物研究中心	1975.2	1734
9	58	資源回收場	1975.2	1734
9	59	園藝教學管理研究室	1785.8	1688
9	60	芳蘭大厝	2798.8	1335
9	61	育成中心	1975.2	1734
9	62	澄思樓	877.8	1255
9	63	思源樓	862.4	1309
9	64	飲水樓	865.9	1392
